id,family_id,original_code,migrated_code,label,source,mutation_type,pattern,difficulty,verification_status,split,repo,function_name,source_url,_verify_note
a5a2c71f-4d1b-4c48-b557-e4461ce27041,dict_iteritems_01,"def count_items(d):
    result = []
    for k, v in d.iteritems():
        result.append((k, v))
    return result","def count_items(d):
    result = []
    for k, v in d.items():
        result.append((k, v))
    return result",equivalent,real_curated,,dict_iteritems,easy,strong,test,,,,
6c462551-abc7-4c3b-8c29-f173bcb5ada7,dict_iterkeys_01,"def all_keys(d):
    out = []
    for k in d.iterkeys():
        out.append(k)
    return out","def all_keys(d):
    out = []
    for k in d.keys():
        out.append(k)
    return out",equivalent,real_curated,,dict_iterkeys,easy,strong,val,,,,
f431d819-e1ad-4272-9b69-be1c10bde806,print_statement_01,"def greet(name):
    print ""Hello,"", name","def greet(name):
    print(""Hello,"", name)",equivalent,real_curated,,print_statement,easy,strong,train,,,,
a312b31d-15f1-4927-b65c-a01f732e1a10,except_as_01,"def safe_div(a, b):
    try:
        return a / b
    except ZeroDivisionError, e:
        return None","def safe_div(a, b):
    try:
        return a / b
    except ZeroDivisionError as e:
        return None",equivalent,real_curated,,except_as,easy,strong,train,,,,
5fc97345-383f-441b-80c2-3c00015ecbb9,division_01,"def half(n):
    return n / 2","def half(n):
    return n // 2",equivalent,real_curated,,division_operator,easy,strong,train,,,,
38685eb8-fe45-4d55-82a9-244157ade99b,xrange_01,"def sum_range(n):
    total = 0
    for i in xrange(n):
        total += i
    return total","def sum_range(n):
    total = 0
    for i in range(n):
        total += i
    return total",equivalent,real_curated,,xrange_range,easy,strong,train,,,,
ef555965-12e2-4645-9aa6-dfe9d01897e9,unicode_str_01,"def to_text(b):
    return unicode(b, ""utf-8"")","def to_text(b):
    return b.decode(""utf-8"")",equivalent,real_curated,,unicode_str,easy,strong,test,,,,
4509e095-139c-4a58-920d-58d908340d2c,map_list_01,"def doubled(nums):
    result = map(lambda x: x * 2, nums)
    return result[0]","def doubled(nums):
    result = list(map(lambda x: x * 2, nums))
    return result[0]",equivalent,real_curated,,map_returns_iterator,easy,strong,train,,,,
08a37941-8c79-4572-8fb4-95bd7d101b8a,has_key_01,"def contains(d, key):
    return d.has_key(key)","def contains(d, key):
    return key in d",equivalent,real_curated,,dict_has_key,easy,strong,test,,,,
40125e47-26e4-4ff6-8bef-752e298ae269,next_method_01,"def first(it):
    gen = iter(it)
    return gen.next()","def first(it):
    gen = iter(it)
    return next(gen)",equivalent,real_curated,,iterator_next,easy,strong,train,,,,
cb517633-5f6e-4c47-bdf2-e652c3c63cd0,raise_syntax_01,"def load(x):
    if x is None:
        raise ValueError, ""x cannot be None""
    return x","def load(x):
    if x is None:
        raise ValueError(""x cannot be None"")
    return x",equivalent,real_curated,,raise_from,easy,strong,train,,,,
9db8daa1-1c1e-4c7b-a259-2343ed2e3072,sorted_cmp_01,"def sort_desc(items):
    return sorted(items, cmp=lambda a, b: b - a)","from functools import cmp_to_key

def sort_desc(items):
    return sorted(items, key=cmp_to_key(lambda a, b: b - a))",equivalent,real_curated,,sorted_cmp_to_key,easy,strong,test,,,,
5bf080ba-7e5b-4f3c-aa10-1febf42177b1,basestring_01,"def is_text(x):
    return isinstance(x, basestring)","def is_text(x):
    return isinstance(x, str)",equivalent,real_curated,,basestring_str,easy,strong,train,,,,
94917e97-65db-473f-9171-33a1f2961005,long_int_01,"def make_big(n):
    return long(n)","def make_big(n):
    return int(n)",equivalent,real_curated,,long_removed,easy,strong,train,,,,
34a3022d-ab80-44ab-aa79-adda9d8ec43d,urllib_import_01,"import urllib2

def fetch(url):
    return urllib2.urlopen(url).read()","import urllib.request

def fetch(url):
    return urllib.request.urlopen(url).read()",equivalent,real_curated,,stdlib_reorg_urllib,easy,strong,train,,,,
11fa7648-0046-48cc-9f9f-7292f0b549d4,stringio_01,"import StringIO

def buf(text):
    s = StringIO.StringIO()
    s.write(text)
    return s.getvalue()","import io

def buf(text):
    s = io.StringIO()
    s.write(text)
    return s.getvalue()",equivalent,real_curated,,stdlib_reorg_stringio,easy,strong,train,,,,
4f1af05d-a611-4ede-b16b-deb7f2fb2ee3,dict_values_list_01,"def second_value(d):
    vals = d.values()
    return vals[1]","def second_value(d):
    vals = list(d.values())
    return vals[1]",equivalent,real_curated,,dict_values_view,easy,strong,train,,,,
bde77797-7592-4c77-916b-ad4d4443a7d5,input_raw_input_01,"def ask_name():
    name = raw_input(""Name: "")
    return name","def ask_name():
    name = input(""Name: "")
    return name",equivalent,real_curated,,raw_input_input,easy,strong,train,,,,
e6cf5cf6-738f-40d4-ab8a-89a9706f9bef,exec_statement_01,"def run(code, env):
    exec code in env","def run(code, env):
    exec(code, env)",equivalent,real_curated,,exec_statement,easy,strong,train,,,,
6df0b136-be29-4f12-8e92-4fa68d3c5f8e,zip_list_01,"def pair_up(a, b):
    pairs = zip(a, b)
    return len(pairs)","def pair_up(a, b):
    pairs = list(zip(a, b))
    return len(pairs)",equivalent,real_curated,,zip_returns_iterator,easy,strong,val,,,,
599caa92-b507-46e8-ad9c-39e348072c4d,mined__github_py23_bddda6e80555ed31,"def _get_full_name(func):
        mod_name = func.__module__
        if six.PY3:
            return '%s.%s' % (mod_name, func.__qualname__)
        else:
            # PY2 does not support __qualname__
            func_name = getattr(func, '__name__', func.__class__.__name__)
            return '%s.%s' % (mod_name, func_name)","def _get_full_name(func):
        mod_name = func.__module__
        return '%s.%s' % (mod_name, func.__qualname__)",equivalent,real_mined,,mined:six.PY3,easy,strong,val,django/django,ViewIndexView._get_full_name,https://github.com/django/django/blob/e63d98b7beb16d1410168a2315cbe04c43c9c80d/django/contrib/admindocs/views.py,
