id,family_id,source,mutation_type,pattern,difficulty,verification_status,split,change_ratio,same_code,original_chars,migrated_chars,original_lines,migrated_lines,function_name,repo
aa083477-f246-4602-950d-6c7692b1d7a9,dict_iteritems_01,mutation,dict_iteritems_not_converted,dict_iteritems,hard,strong,test,0.0,True,114,114,5,5,,
205524ec-b3b7-48d3-8907-eff5f8ffd163,dict_iterkeys_01,mutation,dict_iterkeys_not_converted,dict_iterkeys,hard,strong,val,0.0,True,93,93,5,5,,
06e237b6-6245-4290-b4ac-e5a41cf6797c,print_statement_01,mutation,print_argument_dropped,print_statement,hard,pending,train,0.1169,False,41,36,2,2,,
e83d75d5-65b1-4269-a640-9150fc8e9270,except_as_01,mutation,division_operator_wrong_direction,except_as,hard,strong,train,0.0242,False,102,105,5,5,,
4aa0d01c-0c45-498c-bd5f-87c8ab3b109d,except_as_01,mutation,except_var_used_outside_scope,except_as,hard,strong,train,0.0345,False,102,101,5,5,,
f7a52cb6-3eeb-46ab-b2c8-640024b29884,division_01,mutation,division_operator_flipped,division_operator,hard,strong,train,0.0,True,29,29,2,2,,
9a195514-ea2c-4c5f-8c54-b18cc0507f20,xrange_01,mutation,range_off_by_one,xrange_range,hard,strong,train,0.0476,False,91,98,5,5,,
9d9a9aef-c064-4884-9a4c-402792e0a96e,unicode_str_01,mutation,wrong_decode_encoding,unicode_str,hard,strong,test,0.2222,False,46,44,2,2,,
fa76c355-cbd7-4250-b031-e10768a80cc7,map_list_01,mutation,missing_list_wrap_on_iterator,map_returns_iterator,hard,strong,train,0.0,True,79,79,3,3,,
7242e8fe-623b-4fc2-b6ad-b2181f6f9288,has_key_01,mutation,has_key_membership_check_dropped,dict_has_key,hard,strong,test,0.1605,False,47,34,2,2,,
17bd4766-b330-4c2f-aacf-85e38fd1cac3,next_method_01,mutation,next_called_on_wrong_target,iterator_next,hard,strong,train,0.0556,False,55,53,3,3,,
0534b045-31f4-4215-9001-34875ea05067,raise_syntax_01,mutation,raise_wrong_exception_type,raise_from,hard,strong,train,0.0629,False,88,87,4,4,,
ab32d9c5-aec2-4bf5-8963-d3492d3ac5ae,sorted_cmp_01,mutation,cmp_to_key_import_dropped,sorted_cmp_to_key,hard,strong,test,0.0921,False,70,82,2,2,,
