id,family_id,label,split,source,original_tokens,migrated_tokens,pair_tokens
a5a2c71f-4d1b-4c48-b557-e4461ce27041,dict_iteritems_01,equivalent,test,real_curated,52,51,103
6c462551-abc7-4c3b-8c29-f173bcb5ada7,dict_iterkeys_01,equivalent,val,real_curated,48,47,95
f431d819-e1ad-4272-9b69-be1c10bde806,print_statement_01,equivalent,train,real_curated,17,18,35
a312b31d-15f1-4927-b65c-a01f732e1a10,except_as_01,equivalent,train,real_curated,51,51,102
5fc97345-383f-441b-80c2-3c00015ecbb9,division_01,equivalent,train,real_curated,15,15,30
38685eb8-fe45-4d55-82a9-244157ade99b,xrange_01,equivalent,train,real_curated,45,44,89
ef555965-12e2-4645-9aa6-dfe9d01897e9,unicode_str_01,equivalent,test,real_curated,24,23,47
4509e095-139c-4a58-920d-58d908340d2c,map_list_01,equivalent,train,real_curated,35,37,72
08a37941-8c79-4572-8fb4-95bd7d101b8a,has_key_01,equivalent,test,real_curated,22,17,39
40125e47-26e4-4ff6-8bef-752e298ae269,next_method_01,equivalent,train,real_curated,26,26,52
cb517633-5f6e-4c47-bdf2-e652c3c63cd0,raise_syntax_01,equivalent,train,real_curated,40,39,79
9db8daa1-1c1e-4c7b-a259-2343ed2e3072,sorted_cmp_01,equivalent,test,real_curated,30,48,78
5bf080ba-7e5b-4f3c-aa10-1febf42177b1,basestring_01,equivalent,train,real_curated,23,21,44
94917e97-65db-473f-9171-33a1f2961005,long_int_01,equivalent,train,real_curated,18,18,36
34a3022d-ab80-44ab-aa79-adda9d8ec43d,urllib_import_01,equivalent,train,real_curated,31,33,64
11fa7648-0046-48cc-9f9f-7292f0b549d4,stringio_01,equivalent,train,real_curated,44,42,86
4f1af05d-a611-4ede-b16b-deb7f2fb2ee3,dict_values_list_01,equivalent,train,real_curated,30,32,62
bde77797-7592-4c77-916b-ad4d4443a7d5,input_raw_input_01,equivalent,train,real_curated,27,25,52
e6cf5cf6-738f-40d4-ab8a-89a9706f9bef,exec_statement_01,equivalent,train,real_curated,17,19,36
6df0b136-be29-4f12-8e92-4fa68d3c5f8e,zip_list_01,equivalent,val,real_curated,33,35,68
599caa92-b507-46e8-ad9c-39e348072c4d,mined__github_py23_bddda6e80555ed31,equivalent,val,real_mined,176,58,234
fdd830b2-acc9-4c2c-a442-7bf12bbe133f,mined__github_py23_551448e16a407582,equivalent,test,real_mined,295,190,485
22211ca1-2f8e-41cc-8940-aa503d754938,mined__github_py23_d4d05ae1b21ac988,equivalent,train,real_mined,2128,2099,4227
fa88a389-84e6-4169-9d6c-3912b7b24f3a,mined__github_py23_c3428b16c724dd1c,equivalent,train,real_mined,282,223,505
5985e303-8c96-43e8-9e8e-cdb6ef144fc3,mined__github_py23_1452c0c2b3143cc4,equivalent,val,real_mined,1577,1532,3109
1cc4bd87-dca7-4d71-b116-3368b1a236b2,mined__github_py23_fea5b2c6db74a4d9,equivalent,train,real_mined,971,882,1853
6dd8bb7e-b3a7-41da-ac20-eb0d719dd6d5,mined__github_py23_a19062e58ee76990,equivalent,train,real_mined,158,90,248
e39a980c-c9e6-40a0-9a29-8d3bcbbf8568,mined__github_py23_81ef2a9482e67f5c,equivalent,train,real_mined,191,158,349
0dff5d71-ac22-48a5-ba86-19db1b872662,mined__github_py23_b6a43db1280201af,equivalent,test,real_mined,127,98,225
eccd65ac-8f0f-4657-8616-3d45e2c7e23a,mined__github_py23_ebe53a2f9254a655,equivalent,test,real_mined,190,167,357
88bcf2a7-03e7-422e-94f2-67ba1ee2ba9e,mined__github_py23_381d8546b5877771,equivalent,train,real_mined,515,369,884
a3d25f91-a375-49dd-a53e-fb9b0591a197,mined__github_py23_714742d93306762f,equivalent,train,real_mined,269,213,482
c15b3c5d-cf8f-4a2e-a56c-73dd37d4a85a,mined__github_py23_e2de11afe6fc6774,equivalent,test,real_mined,323,269,592
45e76aa4-b5fc-4864-87ea-fcb7e25f4562,mined__github_py23_e14435df73685e85,equivalent,val,real_mined,1154,1113,2267
1c4551a2-5867-46fa-a8af-88f31edc9445,mined__github_py23_9649e292d93a9563,equivalent,train,real_mined,532,223,755
cf875c20-4f93-4cce-815d-68d709bd90d8,mined__github_py23_b806ddecbfed5cc5,equivalent,test,real_mined,901,863,1764
3101d02f-99fd-4416-acc4-aedca2f947b6,mined__github_py23_fa5d4b926242ef70,equivalent,train,real_mined,240,178,418
d60c741e-65bd-4c5d-bab9-b7c4b4c8c07e,mined__github_py23_6e2afd95e8e25159,equivalent,val,real_mined,108,90,198
21fb01f6-6017-4dc7-8c6a-dec7390da949,mined__github_py23_4021af02a4950c5a,equivalent,train,real_mined,810,658,1468
0b9513ac-b5b6-43ea-905f-1da5ee9cac2e,mined__github_py23_349ec75f114f9b21,equivalent,test,real_mined,112,25,137
f865a179-dd11-42a0-a297-7d8d18481644,mined__github_py23_b72c696ade80b9e3,equivalent,train,real_mined,110,25,135
9a15da65-30dd-4ee5-8111-1c71eb034ef8,mined__github_py23_a1e792ae92ea810b,equivalent,test,real_mined,88,33,121
2a0329b4-2619-4368-991b-5e6255fd6165,mined__github_py23_7d1422f0fb598877,equivalent,train,real_mined,579,464,1043
d2ece81b-433a-4e7d-88c7-53b0a2db16a8,mined__github_py23_2c1cee2a171d0094,equivalent,val,real_mined,494,448,942
e6428f4b-99f7-4d57-8c56-db6eb824926a,mined__github_py23_7ecaab3a53cd0c27,equivalent,train,real_mined,1224,1156,2380
eb987993-cc6d-4376-8d57-98fc331399eb,mined__github_py23_a7028b7606e9a577,equivalent,train,real_mined,305,278,583
3496ad84-c90c-4ccd-a306-dc757443c879,mined__github_py23_12d484075c40e123,equivalent,train,real_mined,687,609,1296
de217837-9695-457c-8de7-1d0c4d96c5e8,mined__github_py23_225283c2d986aeb0,equivalent,test,real_mined,717,448,1165
034d7a81-0336-47de-804b-9da81bb94789,mined__github_py23_dcc036a716667c56,equivalent,val,real_mined,839,622,1461
556d1702-8eac-4867-ab3b-4d398bae52e6,mined__github_py23_06f8c3a348dab8c6,equivalent,train,real_mined,220,206,426
